Kodu,Parfüm Adı,Cinsiyet,Esans,Alkol,Toplam Stok,Fiyat MG/$/KG,Fiyat TL/50 GR,bas_notalar,kalp_notalar,dip_notalar,mevsim,gunun_zamani,ortam,kiyafet_stili,koku_ailesi,koku_yogunlugu,duygusal_etiketler,aciklama_tr
H-115,Hermes - Terre Eau Givre,Erkek,,,200.0,,,"Greyfurt, Nane, Biber","Paçuli, Sedir, Zencefil","Vetiver, Amber, Misk","İlkbahar,Sonbahar",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Formal","Odunsu,Aromatik",Orta,"canlandırıcı,ferah,maskülen","Soğuk ve ferahlatıcı narenciye notalarıyla zenginleştirilmiş, modern ve dinamik bir erkek parfümü. Günlük kullanıma uygundur."
H-131,Hugo Boss - Boss The Scent For Her,Kadın,,,350.0,82,,"Zencefil, Mandalina, Şeftali","Kahve, Manolya, Frezya","Vanilya, Kakao, Misk","Sonbahar,Kış",Gece,"Romantik,Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Gourmand",Orta,"çekici,duygusal,sıcak",Tatlı ve baharatlı notaların birleşimiyle kadınsı ve baştan çıkarıcı bir koku. Gece ve özel anlar için uygundur.
H-132,Hugo Boss - Bottled Night,Erkek,,,100.0,152,,"Armut, Lavanta, Bergamot","Sedir, Paçuli, Misk","Amber, Tonka Fasulyesi","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Formal,Şık","Odunsu,Aromatik",Orta,"gizemli,maskülen,çekici","Derin ve yoğun odunsu notalarla zenginleştirilmiş, gece kullanımı için ideal erkek parfümü."
H-133,Hugo Boss - Elements Aqua,Erkek,,,100.0,120,,"Bergamot, Lavanta, Yeşil Notlar","Adaçayı, Biberiye, Karanfil","Sedir, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Aromatik,Taze",Hafif,"canlandırıcı,enerjik,ferah","Taze ve aromatik notalarla dolu, günlük ve sportif kullanıma uygun hafif erkek parfümü."
H-134,Hugo Boss - Energise For Men,Erkek,,,100.0,145,,"Narenciye, Zencefil, Nane","Tarçın, Kakule, Biber","Sedir, Misk","İlkbahar,Yaz",Gündüz,"Spor,Ofis,Günlük","Sportif,Casual","Narenciye,Aromatik",Orta,"dinamik,canlı,enerjik",Enerji veren baharat ve narenciye notalarıyla sportif ve dinamik erkekler için ideal bir parfüm.
H-135,Hugo Boss - Hugo Boss Woman,Kadın,,,100.0,112,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Yasemin, Frezya, Şakayık","Sedir, Misk","İlkbahar,Yaz",Gündüz,"Ofis,Günlük","Casual,Formal","Çiçeksi,Taze",Hafif,"zarif,ferah,neşeli",Çiçeksi ve taze notaların birleşimiyle kadınsı ve zarif bir koku. Günlük ve ofis kullanımı için uygundur.
H-136,Hugo Boss - Bottled Oud,Erkek,,,100.0,185,,"Elma, Tarçın, Kakule","Oud, Paçuli, Sedir","Amber, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Deri,Odunsu",Çok Yoğun,"lüks,gizemli,çekici","Oud ve baharat notalarıyla zenginleştirilmiş, güçlü ve lüks bir erkek parfümü. Gece kullanımı için idealdir."
H-137,Hugo Boss - Bottled İnfinite,Erkek,,,100.0,125,,"Elma, Tarçın, Karanfil","Sedir, Paçuli, Misk","Vanilya, Amber","Sonbahar,Kış","Gündüz,Gece","Ofis,Özel Davet","Klasik,Formal","Odunsu,Oryantal",Orta,"güvenli,klasik,olgun",Klasik Bottled serisinin modern ve zenginleştirilmiş versiyonu. Hem gündüz hem gece kullanıma uygundur.
H-138,Hugo Boss - Bottled Triumph Elixir,Erkek,,,200.0,90,,"Elma, Tarçın, Karanfil","Sedir, Paçuli, Misk","Vanilya, Amber, Tonka Fasulyesi","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu,Gourmand",Yoğun,"çekici,karizmatik,yoğun","Yoğun ve zengin gourmand notalarla dolu, özel gece davetleri için ideal erkek parfümü."
H-139,Hugo Boss - Bottled,Erkek,,,400.0,,,"Elma, Tarçın, Bergamot","Sedir, Paçuli, Karanfil","Vanilya, Misk, Amber","Sonbahar,Kış","Gündüz,Gece","Ofis,Günlük,Özel Davet","Klasik,Formal","Odunsu,Oryantal",Orta,"güvenli,klasik,olgun","Bottled serisinin ikonik kokusu, odunsu ve baharatlı notalarla dengelenmiş. Her ortamda rahatlıkla kullanılabilir."
h-140,Hugo Boss - Hugo Man,Erkek,,,200.0,,,"Narenciye, Yeşil Notlar, Lavanta","Sedir, Paçuli, Biber","Misk, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Aromatik,Odunsu",Hafif,"ferah,enerjik,genç","Taze ve aromatik notalarla dolu, genç ve dinamik erkekler için ideal günlük parfüm."
H-141,Hugo Boss - Boss Bottled Elixir,Erkek,,,400.0,,,"Tarçın, Karanfil, Elma","Sedir, Sandal Ağacı, Vanilya","Paçuli, Amber, Tonka Fasulyesi","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal",Oryantal,Yoğun,"güçlü,çekici,karizmatik","Boss Bottled Elixir, yoğun baharat ve odunsu notalarıyla sofistike ve çekici bir erkek parfümüdür."
I-111,İnitio  parfums prives - rehab,Unisex,,,400.0,135,,"Lavanta, Nane, Bergamot","Sedir, Paçuli, Kahve","Tütün, Amber, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Aromatik",Çok Yoğun,"gizemli,çekici,derin","Rehab, tütün ve amberin büyüleyici birleşimiyle unisex kullanıma uygun yoğun ve sofistike bir parfümdür."
I-112,İnitio parfums prives - side effect,Unisex,,,100.0,175,,"Tarçın, Kakule, Safran","Tütün, Tonka Fasulyesi, Vanilya","Sedir, Paçuli, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal",Oryantal,Çok Yoğun,"gizemli,çekici,yoğun","Side Effect, baharat ve tütün notalarının yoğun birleşimiyle dikkat çeken unisex bir parfümdür."
I-113,İnitio Parfums Prives - Absolute Aphrodisiac,Unisex,,,100.0,75,,"Bergamot, Lavanta, Kakule","Sandal Ağacı, Paçuli, Vanilya","Amber, Tonka Fasulyesi, Misk","Sonbahar,Kış",Gece,"Romantik,Özel Davet","Şık,Formal","Oryantal,Gourmand",Çok Yoğun,"çekici,tutkulu,baş döndürücü","Absolute Aphrodisiac, baştan çıkarıcı ve yoğun oryantal notalarla dolu unisex bir parfümdür."
I-114,İnitio  Parfums Prives - Oud For Greatness,Unisex,,,100.0,275,,"Saffron, Lavanta","Oud, Paçuli","Amber, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Oryantal",Çok Yoğun,"güçlü,karizmatik,lüks","Oud For Greatness, zengin oud ve amber notalarıyla sofistike ve güçlü bir unisex parfümdür."
I-115,İnitio Parfums Prives - Psychedelic love,Unisex,,,100.0,210,,"Bergamot, Lavanta","Gül, Yasemin","Misk, Amber","İlkbahar,Yaz","Gündüz,Gece","Romantik,Günlük","Şık,Casual","Çiçeksi,Oryantal",Orta,"romantik,canlı,enerjik","Psychedelic Love, çiçeksi ve oryantal notaların enerjik birleşimiyle unisex bir parfümdür."
I-121,İssey miyake - ?,Kadın,,,200.0,,,"Yasemin, Limon, Frezya","Nilüfer, Misk","Sedir, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Şık","Çiçeksi,Taze",Hafif,"ferah,temiz,zarif","Issey Miyake kadın parfümü, ferah ve çiçeksi notalarıyla günlük kullanım için idealdir."
I-122,Issey Miyake- L'Eau D' Issey Pour Homme,Erkek,,,200.0,,,"Yasemin, Bergamot, Limon","Tarçın, Karanfil, Sardunya","Sedir, Vetiver, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Günlük,Özel Davet","Casual,Formal","Aromatik,Odunsu",Orta,"ferah,klasik,zarif","L'Eau D'Issey Pour Homme, taze ve aromatik notalarıyla erkekler için zamansız bir parfümdür."
J-101,Jean paul - gaultier scandal,Kadın,,,200.0,125,,"Portakal Çiçeği, Bergamot","Bal, Yasemin, Gardenya","Paçuli, Misk, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"çekici,cesur,parlak","Gaultier Scandal, bal ve çiçeksi notaların birleşimiyle kadınlar için baştan çıkarıcı bir parfümdür."
J-102,Jean Paul Gaultier - Le Male Elixir,Erkek,,,200.0,105,,"Tarçın, Karanfil, Anason","Lavanta, Vanilya","Amber, Tonka Fasulyesi, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Aromatik",Çok Yoğun,"güçlü,çekici,karizmatik","Le Male Elixir, baharatlı ve tatlı notaların yoğun birleşimiyle erkekler için sofistike bir parfümdür."
J-103,Jean Paul Gaultier - Le Male Le Parfum,Erkek,,,0.0,75,,"Lavanta, Bergamot, Nane","Tarçın, Karanfil, Vanilya","Amber, Tonka Fasulyesi, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Aromatik",Yoğun,"karizmatik,çekici,güçlü","Le Male Le Parfum, klasik Le Male'nin daha yoğun ve sofistike versiyonudur."
J-104,Jean Paul Gaultier - Scandal Pour Homme,Erkek,,,100.0,125,,"Greyfurt, Tarhun, Biber","Bal, Tonka Fasulyesi","Paçuli, Misk","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Oryantal,Aromatik",Orta,"çekici,enerjik,karizmatik","Scandal Pour Homme, taze ve tatlı notaların dengeli birleşimiyle erkekler için modern bir parfümdür."
J-105,Jean Paul Gaultier - Ultra Male Intense,Erkek,,,200.0,90,,"Armut, Lavanta, Nane","Sakız Ağacı, Vanilya","Amber, Paçuli, Misk","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Gourmand,Oryantal",Çok Yoğun,"çekici,enerjik,tutkulu","Ultra Male Intense, tatlı ve odunsu notaların yoğun birleşimiyle erkekler için güçlü bir parfümdür."
J-106,Jean Paul Gaultier - Ma Dame,Kadın,,,100.0,120,,"Yasemin, Gül, Portakal Çiçeği","Misk, Vanilya","Sedir, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Romantik,Özel Davet","Şık,Formal","Çiçeksi,Oryantal",Orta,"romantik,zarif,çekici","Ma Dame, kadınlar için zarif ve romantik çiçeksi-oriental bir parfümdür."
J-107*,Jean Paul Gaultier - Ultra Male,Unisex,,,200.0,,,"Armut, Nane, Lavanta","Sakız Ağacı, Vanilya","Amber, Paçuli, Misk","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Gourmand,Oryantal",Yoğun,"çekici,enerjik,tutkulu","Ultra Male, tatlı ve baharatlı notaların dengeli birleşimiyle unisex kullanıma uygun güçlü bir parfümdür."
J-115,Jacques Bogart - Silver Scent İntense,Erkek,,,100.0,80,,"Bergamot, Lavanta, Biber","Sedir, Paçuli, Vetiver","Misk, Amber, Tonka Fasulyesi","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Aromatik",Yoğun,"güçlü,çekici,karizmatik,maskülen","Silver Scent Intense, güçlü ve sofistike odunsu aromatik bir erkek parfümüdür. Gece kullanımı için idealdir."
J-118*,Jo Malone - Orange Blossom,Unisex,,,,,,"Portakal Çiçeği, Bergamot, Mandalina","Yasemin, Zambak, Narenciye Çiçeği","Misk, Amber, Sedir","İlkbahar,Yaz","Gündüz,Her İkisi","Günlük,Açık Hava,Ofis","Casual,Bohem","Çiçeksi,Narenciye",Hafif,"ferah,neşeli,canlı,enerjik","Orange Blossom, taze ve çiçeksi narenciye notalarıyla ferah bir unisex parfümdür. Günlük ve yaz ayları için uygundur."
J-119*,Jo Malone - Amber&Lavander,Erkek,,,200.0,,,"Lavanta, Biberiye, Bergamot","Amber, Paçuli, Sedir","Misk, Vetiver, Tonka Fasulyesi","Sonbahar,Kış","Gündüz,Gece","Ofis,Özel Davet","Formal,Klasik","Aromatik,Odunsu",Orta,"güven veren,klasik,zarif,erkeksi","Amber & Lavender, aromatik ve odunsu notaların dengeli birleşimiyle erkekler için sofistike bir koku sunar."
J-120,Jo Malone - Myrrh &Tonka,Unisex,,,200.0,,,"Kakao, Karanfil, Tarçın","Miry, Tonka Fasulyesi, Vanilya","Amber, Sandal Ağacı, Misk","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Oryantal,Gourmand",Yoğun,"sıcak,çekici,duygusal,baş döndürücü","Myrrh & Tonka, oryantal ve tatlı notalarıyla unisex kullanıma uygun, sıcak ve etkileyici bir parfümdür."
J-121,Jo malone - wood sage & sea salt,Unisex,,,200.0,80,,"Deniz Tuzu, Greyfurt, Adaçayı","Sage (Adaçayı), Karanfil","Amberwood, Beyaz Misk","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava","Casual,Bohem","Taze,Odunsu",Hafif,"ferah,doğal,rahatlatıcı,enerjik","Wood Sage & Sea Salt, deniz ve adaçayı notalarıyla taze ve doğal bir unisex koku sunar. Yaz ve gündüz kullanımı için uygundur."
J-122,Joop Home,Erkek,,,300.0,120,,"Portakal, Bergamot, Ananas","Tarçın, Yasemin, Karanfil","Vanilya, Misk, Amber","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Oryantal,Gourmand",Yoğun,"çekici,enerjik,cesur,parlak","Joop Homme, tatlı ve baharatlı notalarıyla dikkat çeken güçlü bir erkek parfümüdür. Gece kullanımı için idealdir."
J-123,Jil Sander - Sun Men,Erkek,,,100.0,,,"Bergamot, Greyfurt, Mandalina","Yasemin, Zambak, Frezya","Misk, Amber, Sedir","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Formal","Narenciye,Çiçeksi",Orta,"ferah,canlı,pozitif,enerjik","Jil Sander Sun Men, taze narenciye ve çiçeksi notalarla yaz ve ilkbahar için ideal, hafif ve ferah bir erkek parfümüdür."
K-101,Kenzo - homme marine,Erkek,,,200.0,130,,"Limon, Deniz Notası, Nane","Adaçayı, Biber, Lavanta","Misk, Sedir, Amber","Yaz,İlkbahar",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Sportif","Taze,Aromatik",Hafif,"ferah,canlandırıcı,doğal,enerjik","Kenzo Homme Marine, deniz ve taze aromatik notalarla yaz için ferahlatıcı bir erkek parfümüdür."
K-102,Kenzo - Pour Homme,Erkek,,,100.0,115,,"Bergamot, Greyfurt, Mandalina","Sedir, Paçuli, Yasemin","Misk, Amber, Vetiver","Sonbahar,Kış","Gündüz,Gece","Ofis,Özel Davet","Formal,Klasik","Odunsu,Aromatik",Orta,"klasik,zarif,güven veren,maskülen","Kenzo Pour Homme, odunsu ve aromatik notalarıyla klasik ve sofistike bir erkek parfümüdür."
K-103,Kenzo - Homme,Erkek,,,0.0,115,,"Bergamot, Lavanta, Nane","Sedir, Paçuli, Yasemin","Misk, Amber, Vetiver","İlkbahar,Sonbahar",Gündüz,"Ofis,Günlük","Casual,Formal","Aromatik,Odunsu",Orta,"ferah,klasik,güvenilir,maskülen","Kenzo Homme, aromatik ve odunsu notalarla günlük kullanım için ideal, ferah bir erkek parfümüdür."
K-110,Kayali - Yum Pistachio Gelota 33,Unisex,,,100.0,55,,"Fıstık, Yeşil Mandalina, Bergamot","Badem, Yasemin, Gül","Vanilya, Amber, Misk","İlkbahar,Sonbahar","Gündüz,Gece","Günlük,Özel Davet","Bohem,Şık","Gourmand,Çiçeksi",Orta,"tatlı,çekici,rahatlatıcı,özgün","Yum Pistachio Gelato 33, fıstık ve tatlı notalarla unisex kullanıma uygun, sıcak ve davetkar bir koku sunar."
K-111,Kayali - Vanilla 28,Unisex,,,150.0,65,,"Vanilya, Bergamot, Mandalina","Yasemin, Gül, Tarçın","Amber, Misk, Sandal Ağacı","Sonbahar,Kış",Gece,"Romantik,Özel Davet","Şık,Formal","Gourmand,Oryantal",Yoğun,"sıcak,çekici,duygusal,baş döndürücü","Vanilla 28, yoğun vanilya ve baharat notalarıyla unisex, sıcak ve baştan çıkarıcı bir parfümdür."
K-130,Kajal - Almaz,Unisex,,,200.0,,,"Bergamot, Limon, Yeşil Notlar","Lavanta, Yasemin, Gül","Misk, Amber, Sedir","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Çiçeksi",Hafif,"ferah,canlı,enerjik,rahat","Almaz, taze narenciye ve çiçeksi notalarıyla unisex, hafif ve günlük kullanıma uygun bir parfümdür."
L-101,Lancome - Hypnose Homme,Erkek,,,100.0,98,,"Bergamot, Lavanta, Biber","Vanilya, Paçuli, Amber","Misk, Sandal Ağacı, Tonka Fasulyesi","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Aromatik",Yoğun,"güçlü,çekici,karizmatik,maskülen","Hypnose Homme, odunsu ve oryantal notaların yoğun birleşimiyle erkekler için sofistike ve etkileyici bir parfümdür."
L-102,Lancome - Idole Le Parfum,Kadın,,,200.0,130,,"Bergamot, Yasemin, Gül","İris, Yasemin, Beyaz Çiçekler","Sandal Ağacı, Misk, Vanilya","İlkbahar,Sonbahar","Gündüz,Gece","Özel Davet,Romantik","Şık,Formal","Çiçeksi,Pudralı",Orta,"zarif,romantik,sofistike,şık","Idole Le Parfum, zarif çiçeksi ve pudralı notalarla kadınlar için modern ve sofistike bir parfümdür."
L-103,Lancome - La nuit tresor,Kadın,,,100.0,102,,"Bergamot, Siyah Frenk Üzümü, Armut","Gül, Yasemin, Orkide","Vanilya, Paçuli, Amber, Misk","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"Çekici,Romantik,Derin,Kalıcı","La Nuit Trésor, gizemli ve baştan çıkarıcı bir koku. Yoğun oryantal ve çiçeksi notalarıyla geceye özel tasarlanmıştır."
L-104,Lancome – Miracle,Kadın,,,100.0,120,,"Greyfurt, Mandalina, Biber","Yasemin, Manolya, Frezya","Misk, Amber, Paçuli","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Şık","Çiçeksi,Taze",Orta,"Canlı,Neşeli,Enerjik,Ferah","Miracle, taze ve çiçeksi notalarıyla enerjik ve pozitif bir koku. Günlük kullanım için ideal, ferahlatıcı bir parfümdür."
L-105,Lancome - La Vie Est Belle En Rose,Kadın,,,90.0,105,,"Ahududu, Pembe Greyfurt","Gül, Yasemin, İris","Misk, Sandal Ağacı","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Şık","Çiçeksi,Gourmand",Orta,"Tatlı,Neşeli,Romantik,Canlı","La Vie Est Belle En Rose, tatlı ve çiçeksi notalarıyla neşeli ve feminen bir koku. Günlük kullanıma uygun hafif bir parfümdür."
L-106,Lancome - La Vie Est Belle Intensement,Kadın,,,20.0,100,,"Siyah Frenk Üzümü, Armut","Gül, Yasemin","Vanilya, Paçuli, Amber","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Oryantal,Çiçeksi",Çok Yoğun,"Çekici,Yoğun,Kalıcı,Derin","La Vie Est Belle Intensement, yoğun ve kalıcı oryantal çiçeksi notalarıyla özel anlara uygun bir parfüm. Güçlü ve baştan çıkarıcıdır."
L-107,Lancome - La Vie Est Belle Soleil Cristal,Kadın,,,90.0,110,,"Mandalina, Bergamot","Gül, Yasemin","Vanilya, Amber, Sandal Ağacı","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Şık","Çiçeksi,Oryantal",Orta,"Parlak,Neşeli,Canlı,Ferah","La Vie Est Belle Soleil Cristal, güneşli ve parlak notalarıyla enerjik ve pozitif bir koku. Yaz ve ilkbahar için idealdir."
L-108,Lancome - La Vie Belle Rose extraordinaire,Kadın,,,0.0,80,,"Bergamot, Ahududu","Gül, Yasemin","Misk, Vanilya","İlkbahar,Sonbahar",Her İkisi,"Günlük,Romantik,Ofis","Şık,Casual","Çiçeksi,Gourmand",Orta,"Tatlı,Romantik,Neşeli,Davetsiz","La Vie Belle Rose Extraordinaire, tatlı ve çiçeksi notalarıyla romantik ve neşeli bir parfüm. Hem gündüz hem gece kullanıma uygundur."
L-109,Lancome - Tresör Midnight Rose,Kadın,,,200.0,132,,"Ahududu, Siyah Frenk Üzümü","Gül, Yasemin","Vanilya, Paçuli, Amber","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"Çekici,Yoğun,Kalıcı,Derin","Trésor Midnight Rose, geceye özel oryantal ve meyvemsi notalarıyla baştan çıkarıcı bir koku. Kalıcılığı yüksektir."
L-110,Lancome - La vie Est Belle,Kadın,,,300.0,155,,"Armut, Siyah Frenk Üzümü","İris, Yasemin, Portakal Çiçeği","Paçuli, Vanilya, Tonka Fasulyesi","İlkbahar,Sonbahar",Her İkisi,"Günlük,Ofis,Romantik","Şık,Casual","Çiçeksi,Gourmand",Orta,"Mutlu,Parlak,İlham Verici,Neşeli","La Vie Est Belle, tatlı ve çiçeksi notalarıyla feminen ve pozitif bir koku. Hem gündüz hem gece kullanıma uygundur."
L-120,Lacoste- Style in play,Erkek,,,400.0,110,,"Greyfurt, Bergamot, Mandalina","Sedir Ağacı, Karanfil, Tarçın","Vetiver, Paçuli, Amber","İlkbahar,Sonbahar",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Orta,"Dinamik,Canlı,Modern,Erkeksi","Lacoste Style in Play, taze narenciye ve baharatlı notalarıyla dinamik ve modern bir erkek parfümü. Günlük kullanıma uygundur."
L-121,Laura biagiotti roma uoma,Erkek,,,100.0,82,,"Bergamot, Mandalina, Lavanta","Karanfil, Tarçın, Sardunya","Paçuli, Vetiver, Misk","Sonbahar,Kış","Gündüz,Gece","Ofis,Özel Davet,Gece Hayatı","Formal,Şık","Odunsu,Aromatik",Orta,"Klasik,Erkeksi,Şık,Karizmatik","Laura Biagiotti Roma Uomo, odunsu ve baharatlı notalarıyla klasik ve şık bir erkek parfümü. Hem gündüz hem gece kullanıma uygundur."
L-122,Lacoste - Essential,Unisex,,,200.0,,,"Greyfurt, Bergamot, Mandalina","Sedir Ağacı, Yasemin, Karanfil","Misk, Amber, Vetiver","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Hafif,"Ferahlık,Canlılık,Modern,Unisex","Lacoste Essential, taze narenciye ve aromatik notalarıyla hafif ve ferah bir unisex parfüm. Günlük kullanım için idealdir."
L-131,Le Labo - The Noir 29,Unisex,,,100.0,375,,"Kara Frenk Üzümü, Siyah Çay, Karanfil","Tütün, İncir Yaprağı","Sedir Ağacı, Misk, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Odunsu,Aromatik,Oryantal",Yoğun,"Gizemli,Derin,Çekici,Yoğun","Le Labo The Noir 29, derin ve gizemli notalarıyla yoğun ve kalıcı bir unisex parfüm. Gece kullanımı için uygundur."
L-132,Le Labo - Santal 33,Unisex,,,200.0,160,,"Sedir Ağacı, İris, Kakule","Sandal Ağacı, Deri, Yasemin","Misk, Amber, Paçuli","Sonbahar,Kış",Her İkisi,"Ofis,Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Derin,Aromatik",Orta,"Karizmatik,Modern,Kalıcı,Şık","Le Labo Santal 33, odunsu ve deri notalarıyla karizmatik ve modern bir unisex parfüm. Hem gündüz hem gece kullanıma uygundur."
L-133*,Le labo - The Matcha,Unisex,,,100.0,,,"Yeşil Çay, Matcha, Bergamot","Beyaz Çiçekler, Yasemin","Misk, Sedir Ağacı","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Sportif","Taze,Yeşil",Hafif,"Ferah,Doğal,Canlı,Modern","Le Labo The Matcha, taze ve yeşil notalarıyla hafif ve ferah bir unisex koku. Günlük ve açık hava kullanımı için idealdir."
L-141,Lorenzo villoresi fırenze teint de neige,Kadın,,,400.0,35,,"Bergamot, Limon, Mandalina","Gül, Yasemin, İris","Misk, Vanilya, Sandal Ağacı","İlkbahar,Sonbahar",Her İkisi,"Günlük,Ofis,Romantik","Şık,Casual","Çiçeksi,Pudralı",Orta,"Zarif,Romantik,Soft,Feminen","Lorenzo Villoresi Firenze Teint de Neige, zarif ve pudralı çiçeksi notalarıyla feminen ve romantik bir koku. Günlük ve özel anlar için uygundur."
L-151,Louis Vuitton - city of stars,Unisex,,,200.0,150,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Yasemin, Misk, İris","Sedir, Paçuli, Amber","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık","Narenciye, Çiçeksi",Orta,"ferah, enerjik, modern","City of Stars, taze ve enerjik narenciye notalarıyla şehir hayatının dinamizmini yansıtır. Hem erkek hem kadınlar için ideal, unisex bir kokudur."
L-152,Louis Vuitton - limmensite,Erkek,,,300.0,150,,"Bergamot, Greyfurt, Lavanta","Adaçayı, Biber, Sardunya","Vetiver, Sedir, Misk","İlkbahar, Sonbahar","Gündüz, Gece","Ofis, Özel Davet","Formal, Klasik","Aromatik, Odunsu",Orta,"güvenli, sofistike, erkeksi","Limmensite, ferah aromatik notalarıyla modern erkeğin vazgeçilmezi. Günlük ve özel anlarda kullanıma uygundur."
L-153,Louis vuitton - ombre nomade,Unisex,,,200.0,195,,"Siyah Frenk Üzümü, Bergamot","Siyah Adaçayı, İris","Oud, Amber, Misk","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Klasik","Odunsu, Oryantal",Yoğun,"gizemli, çekici, sofistike","Ombre Nomade, yoğun oud ve amber notalarıyla mistik ve kalıcı bir unisex koku. Gece kullanımı için idealdir."
L-154,Louis Vuitton - Attrape reves,Kadın,,,100.0,225,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Yasemin, İris, Misk","Paçuli, Amber, Sedir","İlkbahar, Yaz","Gündüz, Gece","Romantik, Özel Davet, Günlük","Şık, Bohem","Çiçeksi, Pudralı",Orta,"zarif, romantik, feminen","Attrape Rêves, çiçeksi ve pudralı notalarıyla kadınsı ve büyüleyici bir koku. Romantik anlar için uygundur."
L-155,Louis Vuitton - Rhapsody,Unisex,,,200.0,350,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Yasemin, İris, Misk","Sedir, Paçuli, Amber","İlkbahar, Yaz","Gündüz, Gece","Günlük, Özel Davet, Ofis","Casual, Şık","Narenciye, Çiçeksi",Orta,"canlı, neşeli, sofistike","Rhapsody, taze ve çiçeksi notaların uyumuyla enerjik ve zarif bir unisex parfüm. Her ortamda rahatlıkla kullanılabilir."
L-156,Louis Vuitton - İmagination,Erkek,,,400.0,148,,"Bergamot, Greyfurt, Lavanta","Adaçayı, Biber, Sardunya","Vetiver, Sedir, Misk","İlkbahar, Sonbahar","Gündüz, Gece","Ofis, Özel Davet","Formal, Klasik","Aromatik, Odunsu",Orta,"güvenli, sofistike, erkeksi","Imagination, ferah ve aromatik notalarıyla modern erkeğin tercihi. Hem gündüz hem gece kullanıma uygundur."
